Organization,Name,Street Address,City,State,Postal Code,lat,lon,Organization,Name,Street Address,lat,lon,distance (km)
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,2588.6795388565956
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,2805.0547030035095
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,2732.280326527969
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,3465.470498969348
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,2061.217510502231
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,1326.326518430937
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,2626.5605966117446
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1098.7594649604969
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,531.0929919762815
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,577.5548639533392
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,2878.87624413176
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1630.5558217725409
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1393.881032442351
